en	original	?	Bob paid for Charlie's college education. He is very generous.	["Bob", "paid", "for", "Charlie", "'s", "college", "education", ".", "He", "is", "very", "generous", "."]	["He", [8, 9], ["He"]]	[["Bob", [0, 1], ["Bob"], true], ["Charlie", [3, 4], ["Charlie"], false]]
en	original	?	Bob paid for Charlie's college education. He is very grateful.	["Bob", "paid", "for", "Charlie", "'s", "college", "education", ".", "He", "is", "very", "grateful", "."]	["He", [8, 9], ["He"]]	[["Bob", [0, 1], ["Bob"], false], ["Charlie", [3, 4], ["Charlie"], true]]
fr	original	I am sure this monument is in my guide, it is a must-see.	Je suis sûre que ce monument est dans mon guide, il est incontournable.	["Je", "suis", "s\u00fbre", "que", "ce", "monument", "est", "dans", "mon", "guide", ",", "il", "est", "incontournable", "."]	["il", [11, 12], ["il"]]	[["monument", [5, 6], ["monument"], true], ["guide", [9, 10], ["guide"], false]]
fr	original	I am sure this monument is in my guide, it is complete.	Je suis sûre que ce monument est dans mon guide, il est complet.	["Je", "suis", "s\u00fbre", "que", "ce", "monument", "est", "dans", "mon", "guide", ",", "il", "est", "complet", "."]	["il", [11, 12], ["il"]]	[["monument", [5, 6], ["monument"], false], ["guide", [9, 10], ["guide"], true]]
jp	test	The professor gave the student a bad grade because he did not study.	教授は学生に低い成績をつけた。彼が勉強しなかったからだ。	["\u6559\u6388", "\u306f", "\u5b66\u751f", "\u306b\u4f4e\u3044\u6210\u7e3e\u3092\u3064\u3051\u305f\u3002", "\u5f7c", "\u304c\u52c9\u5f37\u3057\u306a\u304b\u3063\u305f\u304b\u3089\u3060\u3002"]	["\u5f7c", [4, 5], ["\u5f7c"]]	[["\u6559\u6388", [0, 1], ["\u6559\u6388"], false], ["\u5b66\u751f", [2, 3], ["\u5b66\u751f"], true]]
jp	test	The professor gave the student a bad grade because he was strict.	教授は学生に低い成績をつけた。彼は厳格だったからだ。	["\u6559\u6388", "\u306f", "\u5b66\u751f", "\u306b\u4f4e\u3044\u6210\u7e3e\u3092\u3064\u3051\u305f\u3002", "\u5f7c", "\u306f\u53b3\u683c\u3060\u3063\u305f\u304b\u3089\u3060\u3002"]	["\u5f7c", [4, 5], ["\u5f7c"]]	[["\u6559\u6388", [0, 1], ["\u6559\u6388"], true], ["\u5b66\u751f", [2, 3], ["\u5b66\u751f"], false]]
ru	superglue.train	The pike ate the roach. It was hungry.	Щука съела плотву. Она была голодна.	["\u0429\u0443\u043a\u0430", "\u0441\u044a\u0435\u043b\u0430", "\u043f\u043b\u043e\u0442\u0432\u0443", ".", "\u041e\u043d\u0430", "\u0431\u044b\u043b\u0430", "\u0433\u043e\u043b\u043e\u0434\u043d\u0430", "."]	["\u041e\u043d\u0430", [4, 5], ["\u041e\u043d\u0430"]]	[["\u0429\u0443\u043a\u0430", [0, 1], ["\u0429\u0443\u043a\u0430"], true], ["\u043f\u043b\u043e\u0442\u0432\u0443", [2, 3], ["\u043f\u043b\u043e\u0442\u0432\u0443"], false]]
ru	superglue.train	The pike ate the roach. It was delicious.	Щука съела плотву. Она была вкусна.	["\u0429\u0443\u043a\u0430", "\u0441\u044a\u0435\u043b\u0430", "\u043f\u043b\u043e\u0442\u0432\u0443", ".", "\u041e\u043d\u0430", "\u0431\u044b\u043b\u0430", "\u0432\u043a\u0443\u0441\u043d\u0430", "."]	["\u041e\u043d\u0430", [4, 5], ["\u041e\u043d\u0430"]]	[["\u0429\u0443\u043a\u0430", [0, 1], ["\u0429\u0443\u043a\u0430"], false], ["\u043f\u043b\u043e\u0442\u0432\u0443", [2, 3], ["\u043f\u043b\u043e\u0442\u0432\u0443"], true]]
zh	original	Wang Yan stood behind Li Mei and could not see the stage <br/>because she was too short.	王艳站在李梅的后边看不到舞台，因为她太矮了。	["\u738b\u8273", "\u7ad9\u5728", "\u674e\u6885", "\u7684\u540e\u8fb9\u770b\u4e0d\u5230\u821e\u53f0\uff0c\u56e0", "\u4e3a", "\u5979", "\u592a\u77ee\u4e86\u3002"]	["\u5979", [5, 6], ["\u5979"]]	[["\u738b\u8273", [0, 1], ["\u738b\u8273"], true], ["\u674e\u6885", [2, 3], ["\u674e\u6885"], false]]
zh	original	Wang Yan stood behind Li Mei and could not see the stage <br/>because she was too tall.	王艳站在李梅的后边看不到舞台，因为她太高了。	["\u738b\u8273", "\u7ad9\u5728", "\u674e\u6885", "\u7684\u540e\u8fb9\u770b\u4e0d\u5230\u821e\u53f0\uff0c\u56e0", "\u4e3a", "\u5979", "\u592a\u9ad8\u4e86\u3002"]	["\u5979", [5, 6], ["\u5979"]]	[["\u738b\u8273", [0, 1], ["\u738b\u8273"], false], ["\u674e\u6885", [2, 3], ["\u674e\u6885"], true]]
pt	original	I removed the water bottle from the backpack so that it was accessible.	Eu retirei a garrafa d'água da mochila para que ela ficasse acessível.	["Eu", "retirei", "a", "garrafa", "d'\u00e1gua", "da", "mochila", "para", "que", "ela", "ficasse", "acess\u00edvel", "."]	["ela", [9, 10], ["ela"]]	[["garrafa d'\u00e1gua", [3, 5], ["garrafa", "d'\u00e1gua"], true], ["mochila", [6, 7], ["mochila"], false]]
pt	original	I removed the water bottle from the backpack so that it was light.	Eu retirei a garrafa d'água da mochila para que ela ficasse leve.	["Eu", "retirei", "a", "garrafa", "d'\u00e1gua", "da", "mochila", "para", "que", "ela", "ficasse", "leve", "."]	["ela", [9, 10], ["ela"]]	[["garrafa d'\u00e1gua", [3, 5], ["garrafa", "d'\u00e1gua"], false], ["mochila", [6, 7], ["mochila"], true]]
